source,purpose,query_id,seed_id,executed_at_utc,http_status,response_bytes,response_sha256,request_url,error
openalex,index-presence,exact-title,indirect-prompt-injection-2023,2026-08-21T08:26:21+00:00,200,33670,db3fad21e60f19e8ca0d3c2774c0521478a750bd0df45fda2cb81e3d1e479732,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&per-page=20,
openalex,query-retrieval,oa-qa-01,indirect-prompt-injection-2023,2026-08-21T08:26:22+00:00,200,18925,df3085354bf6bac1536a16888adf5da61ac8b2f68865e2d2f3c05a0bcae38b85,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22AI+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-02,indirect-prompt-injection-2023,2026-08-21T08:26:24+00:00,200,2158,3c456db8b26addaf0f0488b33e63f10838503e0e5da8f9e9e241f3316cc0380f,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22LM+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-03,indirect-prompt-injection-2023,2026-08-21T08:26:25+00:00,200,18348,19af8ef0e7117143e6056843599a057c6d640fcebe3fa26a5dfeddc2c4298807,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22LLM+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-04,indirect-prompt-injection-2023,2026-08-21T08:26:26+00:00,200,2179,347ef284571e2a7ab9eaebb79faa8c6f1ccdef27fa324359154acad15da43bea,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22LLM-based+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-05,indirect-prompt-injection-2023,2026-08-21T08:26:27+00:00,200,2213,718379dec88de706d8fe1de32f3b70f2e2f953d764df75fa3c9618157ebf74fa,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22large+language+model+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-06,indirect-prompt-injection-2023,2026-08-21T08:26:28+00:00,200,2194,b0a66505d1f175bad82f764f71e44078b45fec416a11d8e7422a9a6989ae4990,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22language+model+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-07,indirect-prompt-injection-2023,2026-08-21T08:26:29+00:00,200,2164,207e13610030293e84608de7af1daeb8d88b89bad5a8dce3ff256be3ca3c1564,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22agentic+AI%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-08,indirect-prompt-injection-2023,2026-08-21T08:26:30+00:00,200,2182,d4308a431249c89af725f140034e4018adba78798d002cb4610bcd71d7a0622d,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22tool-using+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
openalex,query-retrieval,oa-qa-09,indirect-prompt-injection-2023,2026-08-21T08:26:30+00:00,200,18948,24344622f9f265a452532f98f948c0526d7a7928d7a0870215f9c371f6c45b9f,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22autonomous+agent%22+AND+%28security+OR+attack+OR+vulnerability+OR+threat+OR+adversarial+OR+%22prompt+injection%22+OR+poisoning+OR+backdoor+OR+jailbreak+OR+misuse+OR+compromise+OR+privacy%29&per-page=1,
